Wall time,Step,Value
1649292969.150564,35,200.0
1649293076.7372317,45,200.0
1649293088.197839,46,200.0
1649293123.5541298,49,200.0
1649293135.7627974,50,200.0
1649293231.307057,57,200.0
1649293245.971288,58,200.0
1649293432.7620063,71,200.0
1649293536.302925,78,200.0
1649293550.3146694,79,200.0
1649293563.6707885,80,200.0
1649293634.9106565,85,200.0
1649293749.1700902,93,200.0
1649293764.520592,94,200.0
1649293810.903732,97,200.0
1649293825.0358918,98,200.0
1649293869.5738983,101,200.0
1649293883.2223008,102,200.0
1649293971.098516,108,200.0
1649294043.2095525,113,200.0
1649294143.5172505,120,200.0
1649294287.5279984,130,200.0
1649294344.6117704,134,200.0
1649294400.5890522,138,200.0
1649294601.0706177,152,200.0
1649294655.9290574,156,200.0
1649294669.7023082,157,200.0
1649294698.6447992,159,200.0
1649294728.2719004,161,200.0
1649294811.423802,167,200.0
1649294923.4046865,175,200.0
1649294951.9334872,177,200.0
1649294967.3309543,178,200.0
1649295011.278509,181,200.0
1649295107.4029608,188,200.0
1649295151.3267913,191,200.0
1649295179.5002737,193,200.0
1649295205.6653168,195,200.0
1649295307.5999706,202,200.0
1649295322.0159674,203,200.0
1649295393.0693407,208,200.0
1649295494.4582274,215,200.0
1649295508.6975923,216,200.0
1649295593.4486723,222,200.0
1649295607.4882488,223,200.0
1649295763.7398493,234,200.0
1649295792.2789094,236,200.0
1649295905.9236972,244,200.0
1649295934.9355757,246,200.0
1649296060.0671244,255,200.0
1649296129.2738118,260,200.0
1649296343.724854,275,200.0
1649296357.1943178,276,200.0
1649296545.2345836,289,200.0
1649296558.3734555,290,200.0
1649296572.4297352,291,200.0
1649296728.8003705,302,200.0
1649296772.206652,305,200.0
1649296828.5472448,309,200.0
1649296886.5859447,313,200.0
1649296928.7530162,316,200.0
1649296970.8056154,319,200.0
1649297000.2082088,321,200.0
1649297073.8505044,326,200.0
1649297104.080344,328,200.0
1649297118.0867715,329,200.0
1649297262.2541142,339,200.0
1649297321.8316908,343,200.0
1649297379.1756477,347,200.0
1649297407.2622707,349,200.0
1649297420.914801,350,200.0
1649297462.9489658,353,200.0
1649297673.2875254,368,200.0
1649297786.802943,376,200.0
1649297801.3397217,377,200.0
1649297973.7794573,389,200.0
1649298059.9747968,395,200.0
1649298074.281178,396,200.0
1649298087.7626243,397,200.0
1649298257.6263845,409,200.0
1649298371.8738842,417,200.0
1649298430.5969133,421,200.0
1649298460.6572194,423,200.0
1649298532.642139,428,200.0
1649298601.7881541,433,200.0
1649298631.977754,435,200.0
1649298785.2808578,446,200.0
1649298870.4965847,452,200.0
1649298885.4890392,453,200.0
1649299083.061099,467,200.0
1649299096.694783,468,200.0
1649299126.4352415,470,200.0
1649299182.6841753,474,200.0
1649299196.7369823,475,200.0
1649299225.355807,477,200.0
1649299307.3726835,483,200.0
1649299365.7649796,487,200.0
1649299435.4815373,492,200.0
1649299492.7361734,496,200.0
1649299537.0831783,499,200.0
1649299564.8167932,501,200.0
1649299620.7605093,505,200.0
1649299634.096278,506,200.0
1649299705.820663,511,200.0
1649299721.0866501,512,200.0
1649299805.4914289,518,200.0
1649299831.8085892,520,200.0
1649299899.7840714,525,200.0
1649300128.3184764,541,200.0
1649300155.635908,543,200.0
1649300171.2812023,544,200.0
1649300185.4837441,545,200.0
1649300227.7158806,548,200.0
1649300255.4063878,550,200.0
1649300452.0236628,564,200.0
1649300466.1821177,565,200.0
1649300494.8430426,567,200.0
1649300523.8482175,569,200.0
1649300553.158407,571,200.0
1649300611.8842819,575,200.0
1649300639.6860795,577,200.0
1649300698.085974,581,200.0
1649300727.2681518,583,200.0
1649300783.1656144,587,200.0
1649300866.3584816,593,200.0
1649300895.2767155,595,200.0
1649300949.9243217,599,200.0
1649301175.0092864,615,200.0
1649301189.4516501,616,200.0
1649301233.0406725,619,200.0
1649301262.1184533,621,200.0
1649301318.9953625,625,200.0
1649301347.1955175,627,200.0
1649301517.9981816,639,200.0
1649301587.2559159,644,200.0
1649301602.1474957,645,200.0
1649301713.5161057,653,200.0
1649301728.5688715,654,200.0
1649301799.0617821,659,200.0
1649301812.2889216,660,200.0
1649301867.9437716,664,200.0
1649301922.7820132,668,200.0
1649302005.1792202,674,200.0
1649302019.028435,675,200.0
1649302089.0687869,680,200.0
1649302117.5392494,682,200.0
1649302215.775224,689,200.0
1649302243.7117314,691,200.0
1649302339.6497564,698,200.0
1649302450.8701947,706,200.0
1649302464.55987,707,200.0
1649302579.0396986,715,200.0
1649302692.413061,723,200.0
1649302722.1752787,725,200.0
1649302946.0600924,741,200.0
1649303099.0312083,752,200.0
1649303127.3158658,754,200.0
1649303154.3039923,756,200.0
1649303169.0133,757,200.0
